"p.value","m.z","t.score"
0,117.05463,0
0,209.0815,0
0,217.10712,0
0,211.13343,0
0,99.04382,0
0,200.10049,0
0,271.1917,0
0,214.10801,0
0,117.9274475,0
0,239.20135,0
0,253.10798,0
0,107.04896,0
0,159.10157,0
0,212.03251,0
0,180.06567,0
0,182.98786,0
0,213.11253,0
0,235.09757,0
0,265.21734,0
0,254.07237,0
0,213.09196,0
0,228.06964,0
0,253.05077,0
0,202.10713,0
0,242.1396,0
0,255.11495,0
0,257.02815,0
0,215.09225,0
0,257.17564,0
0,269.13934,0
0,243.12325,0
0,115.98833,0
0,174.95536,0
0,230.13949,0
0,249.11089,0
0,227.12855,0
0,228.13126,0
0,171.04015,0
0,245.093,0
0,151.00269,0
0,197.08133,0
0,229.08277,0
0,240.13205,0
0,132.04438,0
0,153.09105,0
0,195.06585,0
0,255.11865,0
0,247.00364,0
0,271.15484,0
0,252.03384,0
0,155.00098,0
0,195.13822,0
0,209.07905,0
0,116.9273189,0
0,186.11277,0
0,121.06475,0
0,225.07645,0
0,268.10943,0
